"Hab_class" "N" "C_DWN" "C_DWN_SD" "C_DWN_L" "C_DWN_U" "C_UPS" "C_UPS_SD" "C_UPSLL" "C_UPS_U"
"1" 2 62 0.722182391 0.123769234 0.427318519 0.908462094 0.794955032 0.073843134 0.641205455 0.920268446
"2" 1 58 0.66316312 0.12117126 0.418337953 0.873691499 0.475039335 0.14460343 0.168681594 0.732040502
"3" 2 86 0.718481708 0.115958429 0.48241975 0.931566174 0.665817197 0.111264576 0.408033685 0.852582339
"4" 1 53 0.707545604 0.087581207 0.519934428 0.862830396 0.380820431 0.191168743 0.031068484 0.732236614
"5" 3 133 0.644320931 0.124902141 0.380152734 0.849284465 0.823250987 0.060586333 0.694406132 0.931947689
"6" 2 31 0.624405048 0.170849814 0.255022926 0.897154479 0.446513253 0.199168791 0.087863915 0.837262613
"7" 2 59 0.810696144 0.096237029 0.580664056 0.95342514 0.694882376 0.146487156 0.348826831 0.924839891
"8" 3 100 0.877982744 0.067167881 0.731058579 0.989174861 0.699776602 0.092446059 0.480018148 0.845273343
"9" 2 54 0.868397764 0.084509791 0.644030263 0.97205027 0.62439576 0.11984192 0.370493565 0.835895475
"10" 3 156 0.909705799 0.047846819 0.796571127 0.980449303 0.790969612 0.060406428 0.662979431 0.899528804
"11" 1 34 0.560599588 0.106117637 0.341616236 0.746872278 0.36972688 0.195484257 0.025431655 0.716750567
"12" 3 114 0.77288931 0.076121351 0.604440017 0.900339275 0.787446834 0.075739145 0.627264676 0.927101839
"13" 3 53 0.642212242 0.192768753 0.27332853 0.957992831 0.72772873 0.110445444 0.453906246 0.892064056
"14" 3 49 0.508649336 0.283940991 0.027358189 0.950780812 0.803343783 0.058443271 0.678197382 0.906785277
"15" 2 55 0.738630669 0.083567645 0.559861505 0.886753482 0.441349632 0.187587222 0.097792205 0.802659512
"16" 1 32 0.852347284 0.126994309 0.496570054 0.987494471 0.356351195 0.189175478 0.025431655 0.70098652
"17" 1 48 0.82406458 0.068435799 0.672562974 0.936908525 0.404974484 0.198884022 0.0291703 0.739042911
"18" 2 61 0.651276736 0.078553224 0.490556123 0.798025645 0.349568965 0.141464913 0.094404842 0.615786045
"19" 2 36 0.535662336 0.120278981 0.286100306 0.747061286 0.66984938 0.186995086 0.289687965 0.950733994
"20" 3 32 0.455944837 0.14507663 0.166449823 0.720893905 0.592140577 0.128240243 0.293675365 0.792982857
"21" 2 84 0.814582884 0.063502534 0.674454065 0.923296282 0.576689688 0.101754216 0.366467839 0.759693524
"22" 2 49 0.734002175 0.067712369 0.586035464 0.85270798 0.562103266 0.114838252 0.319471855 0.772591063
"23" 3 164 0.898669586 0.058654026 0.76959043 0.987811512 0.812355402 0.063747898 0.677935431 0.918788568
"24" 2 47 0.672892152 0.095358131 0.475584434 0.845404084 0.64478187 0.120852886 0.380082045 0.847742014
"25" 2 128 0.878168927 0.053633434 0.761150962 0.969968012 0.697144675 0.142204855 0.39214612 0.932137706
"26" 2 44 0.64069855 0.161254704 0.318928577 0.912854709 0.585942619 0.196292892 0.145169646 0.908462094
"27" 2 41 0.570342263 0.09027805 0.391193062 0.738270739 0.442962527 0.193831772 0.089398619 0.813209334
"28" 3 79 0.663365724 0.249332199 0.07316896 0.975872979 0.805490407 0.057383707 0.68131031 0.907375275
"29" 3 42 0.624158113 0.268924497 0.047110637 0.97303814 0.735090706 0.072125673 0.575273464 0.861761727
"30" 2 172 0.932210805 0.033523255 0.857416988 0.981494347 0.549867846 0.115374015 0.31745335 0.759145419
