Date,PK.TMaxF,PK.TMinF,PK.PrcpIN,HH.TMaxF,HH.TMinF,HH.PrcpIN
1/1/2013,27,19,0,26,22,0
1/2/2013,27,22,0,27,23,0
1/3/2013,23,14,0,25,21,0
1/4/2013,25,19,0,22,13,0
1/5/2013,29,20,0,24,13,0
1/6/2013,36,25,0,30,20,0.1
1/7/2013,35,30,0.16,35,22,0.23
1/8/2013,39,32,0.04,36,25,0.32
1/9/2013,44,31,0.07,39,30,0.1
1/10/2013,39,27,0.22,46,32,0.1
1/11/2013,27,20,0.03,36,22,0.1
1/12/2013,22,6,0.05,22,12,0.1
1/13/2013,18,12,0.01,18,9,0.04
1/14/2013,21,14,0.05,18,9,0.1
1/15/2013,30,19,0,20,15,0.14
1/16/2013,28,13,0,25,19,0
1/17/2013,26,13,0,30,17,0
1/18/2013,39,18,0,31,21,0
1/19/2013,36,20,0,32,19,0
1/20/2013,33,23,0,33,21,0
1/21/2013,32,19,0,29,18,0
1/22/2013,27,15,0,34,20,0
1/23/2013,25,20,0,28,15,0
1/24/2013,39,23,0,31,19,0.33
1/25/2013,40,23,0,41,27,0.06
1/26/2013,38,33,0.15,42,28,0.55
1/27/2013,36,27,0.01,37,32,0.07
1/28/2013,35,27,0.01,34,28,0.15
1/29/2013,32,22,0.05,32,24,0
1/30/2013,40,26,0.01,26,19,0
1/31/2013,42,26,0,41,19,0
2/1/2013,43,32,0,41,32,0.1
2/2/2013,41,25,0,42,33,0
2/3/2013,42,24,0,40,29,0
2/4/2013,44,36,0,41,26,0
2/5/2013,49,31,0.03,43,30,0
2/6/2013,50,31,0,44,30,0
2/7/2013,40,25,0,40,32,0
2/8/2013,40,25,0,40,28,0
2/9/2013,39,24,0.01,40,27,0
2/10/2013,34,24,0.02,33,23,0
2/11/2013,34,22,0,35,19,0.16
2/12/2013,38,31,0,33,24,0
2/13/2013,44,36,0.01,38,29,0
2/14/2013,42,27,0,43,34,0
2/15/2013,43,24,0,41,24,0
2/16/2013,42,23,0,40,28,0
2/17/2013,42,32,0.02,37,28,0
2/18/2013,41,27,0,38,31,0
2/19/2013,39,28,0,39,25,0.28
2/20/2013,39,24,0.01,36,20,0
2/21/2013,37,21,0.01,36,27,0
2/22/2013,40,28,0,33,24,0.08
2/23/2013,40,28,0,35,28,0.11
2/24/2013,40,21,0,38,29,0.06
2/25/2013,40,29,0,36,21,0
2/26/2013,39,29,0,35,28,0.09
2/27/2013,42,26,0,36,29,0
2/28/2013,44,28,0,37,22,0
3/1/2013,53,37,0,39,28,0.2
3/2/2013,57,32,0,47,33,0
3/3/2013,55,35,0.001,52,34,0.55
3/4/2013,37,16,0.03,41,25,0.16
3/5/2013,36,17,0,32,19,0
3/6/2013,36,25,0.1,33,9,0.04
3/7/2013,46,31,0,35,23,0
3/8/2013,46,20,0,43,32,0
3/9/2013,50,28,0,43,22,0
3/10/2013,48,24,0,47,25,0
3/11/2013,49,32,0,47,29,0
3/12/2013,49,30,0.05,45,31,0.31
3/13/2013,58,43,0,40,29,0
3/14/2013,57,35,0,49,34,0
3/15/2013,56,45,0,50,34,0
3/16/2013,54,38,0.03,56,38,0.07
3/17/2013,54,26,0,47,33,0.27
3/18/2013,40,26,0.06,37,28,0.15
3/19/2013,44,19,0.01,34,23,0
3/20/2013,56,30,0,40,19,0.21
3/21/2013,55,30,0.15,41,26,0.35
3/22/2013,40,23,0.01,41,29,0.06
3/23/2013,33,22,0.08,35,24,0
3/24/2013,37,18,0.01,33,13,0.04
3/25/2013,44,18,0,37,17,0
3/26/2013,51,28,0,42,13,0
3/27/2013,53,28,0,49,18,0
3/28/2013,53,33,0.06,50,24,0
3/29/2013,57,36,0.03,51,32,0
3/30/2013,61,31,0,48,35,0.02
3/31/2013,62,30,0,61,30,0
4/1/2013,61,32,0,59,31,0
4/2/2013,66,32,0,61,31,0
4/3/2013,66,36,0,64,31,0
4/4/2013,65,36,0,54,39,0
